date,delta_deg,E_day_kWh
2024-10-08,14,1.3518576177303507
2024-10-09,10,0.6748967111869237
2024-10-09,11,0.674821518295415
2024-10-09,12,0.6746709106141604
2024-10-09,13,0.6744452541837884
2024-10-09,14,0.6741449351132883
2024-10-10,10,1.2129200669603777
2024-10-10,11,1.2126429148226459
2024-10-10,12,1.212223968294408
2024-10-10,13,1.2116638643978297
2024-10-10,14,1.2109632714507377
2024-10-11,10,1.7803504782810426
2024-10-11,11,1.7804199428214382
2024-10-11,12,1.780247435393964
2024-10-11,13,1.7798329446253616
2024-10-11,14,1.7791763566278802
2024-10-12,10,1.5688566766582288
2024-10-12,11,1.5685505641831907
2024-10-12,12,1.5680227869937005
2024-10-12,13,1.5672740104872984
2024-10-12,14,1.5663048680564735
2024-10-13,10,1.7571657898997544
2024-10-13,11,1.7569091200486304
2024-10-13,12,1.7563856220260552
2024-10-13,13,1.7555950922588646
2024-10-13,14,1.7545372939367365
2024-10-14,10,2.2312461311586453
2024-10-14,11,2.2308903203578097
2024-10-14,12,2.2301825567268514
2024-10-14,13,2.2291230452233375
2024-10-14,14,2.227711961430268
2024-10-15,10,2.156160646831251
2024-10-15,11,2.1555701595093777
2024-10-15,12,2.1546557185284443
2024-10-15,13,2.1534175433208183
2024-10-15,14,2.1518557956751048
2024-10-16,10,1.8935327262091775
2024-10-16,11,1.892883348729647
2024-10-16,12,1.891953019402268
2024-10-16,13,1.8907418442753945
2024-10-16,14,1.8892498698194649
2024-10-17,10,1.33774617007676
2024-10-17,11,1.3371839439746187
2024-10-17,12,1.3364355844976894
2024-10-17,13,1.3355012648363076
2024-10-17,14,1.3343811591796844
2024-10-18,10,2.0593163585932097
2024-10-18,11,2.0588103509338507
2024-10-18,12,2.0579984801372
2024-10-18,13,2.0568809874568332
2024-10-18,14,2.0554580688949935
2024-10-19,10,2.111475777010067
2024-10-19,11,2.1108698754108417
2024-10-19,12,2.1099493729112844
2024-10-19,13,2.1087144079656146
2024-10-19,14,2.1071650592667384
2024-10-20,10,2.21520189875466
2024-10-20,11,2.214543614472711
2024-10-20,12,2.213556817392664
2024-10-20,13,2.212241421552108
2024-10-20,14,2.2105972889127052
2024-10-21,10,2.100215751569528
2024-10-21,11,2.099502380282414
2024-10-21,12,2.0984768996242904
2024-10-21,13,2.0971392715045822
2024-10-21,14,2.095489409716688
2024-10-22,10,2.094249853365219
2024-10-22,11,2.093469254548313
2024-10-22,12,2.092387585624163
2024-10-22,13,2.091004738762973
2024-10-22,14,2.089320534133988
2024-10-23,10,1.9072446742517408
2024-10-23,11,1.906338457465192
2024-10-23,12,1.9051830393147888
2024-10-23,13,1.9037784805378428
2024-10-23,14,1.9021247237430885
2024-10-24,10,2.0679504951513716
2024-10-24,11,2.067162071916798
2024-10-24,12,2.066080567277243
2024-10-24,13,2.064705904298723
2024-10-24,14,2.0630379197010984
2024-10-25,10,2.188229282879105
